0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;20_похожих
Никогда не сдавайся 2;Боевик (Экшен);Драма;Криминальный;Современное кино (2000–2020);6.325;570253;Never Back Down 2: The Beatdown;5.6;0;;;;;;;;;;;;;;;;;;;;"Дракон;Никогда не сдавайся;Аппалуза;Бой с тенью 2: Реванш;Запрещенный прием;Ученик мастера;Не сдавайся;Подземка;ЗащитнеГ;Путь воина;Никогда не сдавайся 3;Бой с тенью;Бой с тенью 3D: Последний раунд;Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш"
Отчаянный;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);7.671;8826;Desperado;7.1;6.5;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва;День ангела"
Рэмбо IV;Боевик (Экшен);Военный;Военный;Современное кино (2000–2020);6.864;104952;Rambo;7;5;;;;;;;;;;;;;;;;;;;;"300 спартанцев;300 спартанцев: Расцвет империи;Охотник;Неудержимые;Хантер киллер;Отряд особого назначения;Рыцари неба;G.I. Joe: Бросок кобры 2;Сезон убийц;Рукопашный бой;22 мили;Топ Ган: Мэверик;Рэмбо: Первая кровь;Рэмбо: первая кровь;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Серые волки;Коммандос"
Малыш на драйве;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.193;902939;Baby Driver;7.5;8.1;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Отряд особого назначения;Боевик (Экшен);Военный;Военный;Современное кино (2000–2020);6.676;543373;Forces sp?ciales;6.3;0;;;;;;;;;;;;;;;;;;;;"300 спартанцев;300 спартанцев: Расцвет империи;Охотник;Рэмбо IV;Неудержимые;Хантер киллер;Рыцари неба;G.I. Joe: Бросок кобры 2;Сезон убийц;Рукопашный бой;22 мили;Топ Ган: Мэверик;Рэмбо: Первая кровь;Рэмбо: первая кровь;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Серые волки;Коммандос"
Вышка;Боевик (Экшен);Триллер;Другое;Новинки (2020–2025);6.759;4542208;Fall;6.4;6.4;;;;;;;;;;;;;;;;;;;;"Опасные пассажиры поезда 123;Поезд-беглец;Неуправляемый;Быстрый и мертвый;Разлом Сан-Андреас;Код 355;Миссия: невыполнима 7. Смертельная расплата;Без права на ошибку;Миссия невыполнима: Племя изгоев;Не время умирать;Через прицел;Стрела. Абсолютное оружие;Камуфляж и шпионаж;Код Красный;Белый взрыв;Игры патриотов;Герой - одиночка;Башня;Берлинское дело;Кейт"
Великий уравнитель;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.106;196707;The Equalizer;7.3;5.7;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Сорвиголова;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);8.065;817509;Daredevil;8.6;0;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой;Железный человек 3"
Опасно для жизни!;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);7.099;42775;;6.4;0;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
За пригоршню долларов;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);7.972;8455;Per un pugno di dollari;7.9;8.2;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо;Шакал"
Удар;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);7.376;705287;Kick;5.9;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Особо опасна;Боевик (Экшен);Фантастика;Фантастический;Современное кино (2000–2020);5.368;568836;Barely Lethal;5.4;0;;;;;;;;;;;;;;;;;;;;"24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Хардкор;Особо опасен;Столкновение с бездной;Монстры на острове;Смертельная гонка;Трансформеры 2: Месть падших;Трансформеры 3: Темная сторона Луны;Хищники;Форсаж: Хоббс и Шоу;Судная ночь 2;Другой мир: Пробуждение;Геймер;Морской бой;Рэмпейдж"
Трейсеры;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);5.467;681648;Tracers;5.6;4.6;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Мастер тай-цзи;Боевик (Экшен);Драма;Другое;Классика (до 2000 года);6.095;606650;Man of Tai Chi;6;6.1;;;;;;;;;;;;;;;;;;;;"Землетрясение;Вздымающийся ад;Кикбоксер;Лучшие из лучших;Кикбоксер 2: Дорога назад;Крид: Наследие Рокки;Панчер;Пламя;Не сдавайся;Подземка;Путь воина;Никогда не сдавайся 3;Бой с тенью;Бой с тенью 3D: Последний раунд;Пьяный мастер;Змея в тени орла;Доспехи Бога;Парень-каратист;Бесстрашная гиена;Быстрый и мертвый"
Шан-Чи и легенда Десяти колец;Боевик (Экшен);Фэнтези;Супергеройский;Новинки (2020–2025);7.303;1219149;Shang-Chi and the Legend of the Ten Rings;7.3;7.5;;;;;;;;;;;;;;;;;;;;"Шан-Чи и легенда десяти колец;Секретная служба Санта-Клауса;Тор: Любовь и гром;Тор: Рагнарёк;Блэйд;Чудо-женщина;Пуленепробиваемый монах;Геракл;Призрачный гонщик;Хеллбой;Джона Хекс;Восточный ветер 4: Легенда о Воине;Смертельная битва;Охота на Санту;Мортал Комбат;Железный рыцарь 2: Кровная месть;Чудо-женщина: 1984;Человек-паук: Через вселенные;Человек-паук: Нет пути домой;Лига справедливости Зака Снайдера"
Башня;Боевик (Экшен);Триллер;Криминальный;Новинки (2020–2025);6.889;708259;Tawo;6.5;0;;;;;;;;;;;;;;;;;;;;"Через прицел;Стрела. Абсолютное оружие;Код Красный;Белый взрыв;Герой - одиночка;Кейт;Где 042?;Егерь;Смерть на взлете;Пассажир 57;12 раундов;Гаджини;Крепкий орешек 3: Возмездие;Скорость;Стрелок;Исчезающая точка;Иностранец;Воздушный маршал;Рок;В осаде"
Человек с золотым пистолетом;Боевик (Экшен);Триллер;Шпионский;Классика (до 2000 года);6.936;5674;The Man with the Golden Gun;6.7;5.3;;;;;;;;;;;;;;;;;;;;"Миротворец;Скала;Голдфингер;Враг государства;Миссия: невыполнима;Из России с любовью;Доктор Ноу;Ее звали Никита;Золотой глаз;Долгий поцелуй на ночь;Прямая и явная угроза;Лицензия на убийство;Бриллианты навсегда;Только для твоих глаз;Завтра не умрет никогда;Вид на убийство;Код 355;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль"
Солт;Боевик (Экшен);Триллер;Шпионский;Современное кино (2000–2020);6.012;447284;Salt;6.5;6;;;;;;;;;;;;;;;;;;;;"Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Система безопасности;007: Координаты """"Скайфолл;Миссия невыполнима: Последствия;Миссия Невыполнима: Протокол Фантом;Шпионские игры;Миссия невыполнима: Протокол Фантом;Игры шпионов;Крепкий орешек 4.0;Совокупность лжи;Миссия: невыполнима 3;Из Парижа с любовью;007: СПЕКТР;Прозрение;Анна;Взрывная блондинка"
Исчезающая точка;Боевик (Экшен);Триллер;Криминальный;Классика (до 2000 года);7.428;24981;Vanishing Point;7.2;6.4;;;;;;;;;;;;;;;;;;;;"Пассажир 57;Крепкий орешек 3: Возмездие;Скорость;Воздушный маршал;Рок;В осаде;Слепая ярость;Внезапная смерть;В западне;Турбулентность;Скорость 2: Контроль над круизом;12 раундов;Гаджини;Стрелок;Иностранец;Через прицел;Стрела. Абсолютное оружие;Код Красный;Белый взрыв;Герой - одиночка"
Внезапная смерть;Боевик (Экшен);Триллер;Криминальный;Классика (до 2000 года);6.658;18193;Sudden Death;5.9;5.2;;;;;;;;;;;;;;;;;;;;"Пассажир 57;Крепкий орешек 3: Возмездие;Скорость;Исчезающая точка;Воздушный маршал;Рок;В осаде;Слепая ярость;В западне;Турбулентность;Скорость 2: Контроль над круизом;12 раундов;Гаджини;Стрелок;Иностранец;Через прицел;Стрела. Абсолютное оружие;Код Красный;Белый взрыв;Герой - одиночка"
Миссия: невыполнима 2;Боевик (Экшен);Триллер;Шпионский;Современное кино (2000–2020);6.831;3447;Mission: Impossible II;6.1;6;;;;;;;;;;;;;;;;;;;;"Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Система безопасности;007: Координаты """"Скайфолл;Миссия невыполнима: Последствия;Миссия Невыполнима: Протокол Фантом;Шпионские игры;Миссия невыполнима: Протокол Фантом;Игры шпионов;Крепкий орешек 4.0;Совокупность лжи;Миссия: невыполнима 3;Из Парижа с любовью;007: СПЕКТР;Прозрение;Анна;Взрывная блондинка"
Осьминожки;Боевик (Экшен);Приключения;Шпионский;Классика (до 2000 года);7.669;431932;;7;0;;;;;;;;;;;;;;;;;;;;"Живи и дай умереть;На секретной службе ее Величества;Осьминожка;Ниндзя 2;Святой;Большая игра;Королевская регата;Авангард: Арктические волки;Доспехи Бога;Кровавый спорт;Наемник;Великолепная семерка;Дневной свет;Прыжок богомола;В смертельной опасности;Миротворец;Профессионал;Скала;Голдфингер;Враг государства"
Монстры на острове;Боевик (Экшен);Фантастика;Фантастический;Современное кино (2000–2020);7.111;708281;Friends: Mononokeshima no Naki;6.2;0;;;;;;;;;;;;;;;;;;;;"24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Хардкор;Особо опасен;Столкновение с бездной;Смертельная гонка;Трансформеры 2: Месть падших;Трансформеры 3: Темная сторона Луны;Хищники;Форсаж: Хоббс и Шоу;Судная ночь 2;Другой мир: Пробуждение;Геймер;Морской бой;Рэмпейдж;Судный день"
Безумный Макс 2: Воин дороги;Боевик (Экшен);Фантастика;Фантастический;Классика (до 2000 года);7.647;8374;Mad Max 2;7.6;8.5;;;;;;;;;;;;;;;;;;;;"Хищник;Бегущий человек;Безумный Макс;Армагеддец;Универсальный солдат;Чужое лицо;Подъем с глубины;Терминатор 2: Судный день;Побег из Лос-Анджелеса;Хищник 2;Уличный боец;Универсальный солдат 2: Возвращение;24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Связь;Хардкор"
Бегущий человек;Боевик (Экшен);Фантастика;Фантастический;Классика (до 2000 года);7.125;5194;The Running Man;6.6;5.7;;;;;;;;;;;;;;;;;;;;"Хищник;Безумный Макс;Армагеддец;Универсальный солдат;Чужое лицо;Подъем с глубины;Терминатор 2: Судный день;Побег из Лос-Анджелеса;Безумный Макс 2: Воин дороги;Хищник 2;Уличный боец;Универсальный солдат 2: Возвращение;24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Связь;Хардкор"
13-й район: Кирпичные особняки;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);5.482;462667;Brick Mansions;5.6;4.4;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Заложница 2;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.719;453544;Taken 2;6.2;4.2;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Молодой мастер;Боевик (Экшен);Комедия;Криминальный;Классика (до 2000 года);7.618;24721;Shi di chu ma;7;0;;;;;;;;;;;;;;;;;;;;"Пьяный мастер 2;Час пик;Драконы навсегда;Близнецы-драконы;Плохой парень;Проект А: Часть 2;Телохранитель киллера;Городской охотник;Телохранитель жены киллера;Красное уведомление;Пушки Акимбо;Одинок по контракту;Пьяный мастер;Правдивая ложь;Змея в тени орла;Бесстрашная гиена;Пассажир 57;Другие 48 часов;Леон;Игра смерти"
Каратель: Территория войны;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);5.98;102241;Punisher: War Zone;5.9;4.4;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Контрудар;Боевик (Экшен);Военный;Военный;Новинки (2020–2025);7.83;44906;;6.9;0;;;;;;;;;;;;;;;;;;;;"22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Отряд;История одного назначения;Не брать живым;Самоволка;72 часа;Выбор цели;Единичка;Король неба;Высший пилотаж;Миссия в Кабуле;Пленница. Побег;Приказано взять живым;Кремень;Русский рейд;Последнее испытание"
Святой;Боевик (Экшен);Приключения;Шпионский;Классика (до 2000 года);5.988;4133;The Saint;6.2;4.6;;;;;;;;;;;;;;;;;;;;"Осьминожки;Живи и дай умереть;На секретной службе ее Величества;Осьминожка;Ниндзя 2;Большая игра;Королевская регата;Авангард: Арктические волки;Доспехи Бога;Кровавый спорт;Наемник;Великолепная семерка;Дневной свет;Прыжок богомола;В смертельной опасности;Миротворец;Профессионал;Скала;Голдфингер;Враг государства"
Люди Икс;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);7.677;886;X-Men;7.3;7;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой;Железный человек 3"
Адреналин в крови 2;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);0;310028;Shiva;4;0;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Гемини;Боевик (Экшен);Фантастика;Фантастический;Современное кино (2000–2020);5.942;462851;Gemini Man;5.7;4.7;;;;;;;;;;;;;;;;;;;;"24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Хардкор;Особо опасен;Столкновение с бездной;Монстры на острове;Смертельная гонка;Трансформеры 2: Месть падших;Трансформеры 3: Темная сторона Луны;Хищники;Форсаж: Хоббс и Шоу;Судная ночь 2;Другой мир: Пробуждение;Геймер;Морской бой;Рэмпейдж"
Хаос;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.184;81101;Chaos;6.4;0;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Джон Уик;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.028;762738;John Wick;7.5;7;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
На гребне волны;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);7.879;1990;Point Break;7.3;6.3;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо;Шакал"
Завтра не умрет никогда;Боевик (Экшен);Триллер;Шпионский;Классика (до 2000 года);7.099;8141;Tomorrow Never Dies;6.5;6.1;;;;;;;;;;;;;;;;;;;;"Миротворец;Скала;Голдфингер;Враг государства;Миссия: невыполнима;Из России с любовью;Доктор Ноу;Ее звали Никита;Золотой глаз;Долгий поцелуй на ночь;Прямая и явная угроза;Лицензия на убийство;Бриллианты навсегда;Только для твоих глаз;Человек с золотым пистолетом;Вид на убийство;Код 355;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль"
Другие 48 часов;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);6.729;2693;Another 48 Hrs.;5.9;4.3;;;;;;;;;;;;;;;;;;;;"Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо;Шакал"
Неудержимый;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.115;463475;Bullet to the Head;5.7;5.1;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Дракон;Боевик (Экшен);Драма;Криминальный;Современное кино (2000–2020);8.002;256067;;8;0;;;;;;;;;;;;;;;;;;;;"Никогда не сдавайся;Аппалуза;Бой с тенью 2: Реванш;Никогда не сдавайся 2;Запрещенный прием;Ученик мастера;Не сдавайся;Подземка;ЗащитнеГ;Путь воина;Никогда не сдавайся 3;Бой с тенью;Бой с тенью 3D: Последний раунд;Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш"
Люди Икс: Апокалипсис;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.972;814016;X-Men: Apocalypse;6.8;5.6;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Пороховой коктейль;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.379;1236634;Gunpowder Milkshake;6.1;5.9;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Неудержимые 2;Боевик (Экшен);Приключения;Военный;Современное кино (2000–2020);6.986;571288;The Expendables 2;6.6;5.9;;;;;;;;;;;;;;;;;;;;"Наемник;Великолепная семерка;В смертельной опасности;Большая игра;Доспехи бога 3: Миссия Зодиак;Посейдон;Вулкан;300 спартанцев;300 спартанцев: Расцвет империи;Ип Ман;13 убийц;Охотник;Шаолинь;Рэмбо IV;Тень;Неудержимые;ЗащитнеГ;Скиф;Хантер киллер;Отряд особого назначения"
Смокинг;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.905;2930;The Tuxedo;5.4;4.4;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Стритрейсеры;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);3.645;259281;;2.8;0;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Need for Speed: Жажда скорости;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.842;678975;Need for Speed;6.4;4.4;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Голдфингер;Боевик (Экшен);Триллер;Шпионский;Классика (до 2000 года);7.647;8192;Goldfinger;7.7;8.7;;;;;;;;;;;;;;;;;;;;"Миротворец;Скала;Враг государства;Миссия: невыполнима;Из России с любовью;Доктор Ноу;Ее звали Никита;Золотой глаз;Долгий поцелуй на ночь;Прямая и явная угроза;Лицензия на убийство;Бриллианты навсегда;Только для твоих глаз;Человек с золотым пистолетом;Завтра не умрет никогда;Вид на убийство;Код 355;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль"
Легендарный;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.809;491004;Legendary;6.1;4.8;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Опасный Бангкок;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.115;258777;Bangkok Dangerous;5.3;3.4;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Шазам!;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.693;840372;Shazam!;7;7.3;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Шпионы по соседству;Боевик (Экшен);Семейный;Шпионский;Современное кино (2000–2020);5.952;681503;Keeping Up with the Joneses;5.9;4.4;;;;;;;;;;;;;;;;;;;;"Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Kingsman: Секретная служба;Система безопасности;Дом летающих кинжалов;007: Координаты """"Скайфолл;Большая игра;Миссия невыполнима: Последствия;Шпионский мост;Агенты А.Н.К.Л.;Миссия Невыполнима: Протокол Фантом;Шпионские игры;Хитмен. Последнее дело;Миссия невыполнима: Протокол Фантом;Игры шпионов;Крепкий орешек 4.0;Совокупность лжи"
Смертельная гонка;Боевик (Экшен);Фантастика;Фантастический;Современное кино (2000–2020);7.078;102136;Death Race;6.4;4.9;;;;;;;;;;;;;;;;;;;;"24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Хардкор;Особо опасен;Столкновение с бездной;Монстры на острове;Трансформеры 2: Месть падших;Трансформеры 3: Темная сторона Луны;Хищники;Форсаж: Хоббс и Шоу;Судная ночь 2;Другой мир: Пробуждение;Геймер;Морской бой;Рэмпейдж;Судный день"
